Ates, Florida  
     564      6557        30      4832        86      5228  
     643      6745        30      4850        86      5710  
     644      6736        30      4813        86      5716  
     645      6703        30      4840        86      5600  
     648      6671        30      4824        86      5575  
     649      6628        30      4816        86      5524  
     650      6601        30      4815        86      5459  
     702      7162        30      4844        87       387  
     711      6943        30      4848        87        54  
     714      6935        30      4835        87        28  
     793      7358        30      4843        87       725  
     794      7340        30      4842        87       682  
     795      7315        30      4840        87       650  
     796      7297        30      4840        87       586  
     959      7262        30      4819        87       550  
     975      7356        30      4670        87       704  
     980      7302        30      4598        87       719  
    1002      7385        30      4571        87       731  
    1003      7373        30      4521        87       721  
    1004      7342        30      4500        87       695  
    1008      7315        30      4454        87       623  
